customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,state
RU83859,California,F,Bachelor,811033.31%,11489.0,105.0,1/0/00,Personal Auto,Two-Door Car,504.0,California
FG63582,Oregon,F,Bachelor,333976.49%,0.0,94.0,1/0/00,Personal Auto,Two-Door Car,863.327324,California
NN71951,California,F,High School or Below,2426101.78%,66525.0,100.0,1/0/00,Personal Auto,SUV,104.331355,California
WB37082,Arizona,F,Bachelor,661397.37%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,676.391482,California
SM52139,WA,F,College,293069.35%,33663.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4,California
FL82372,Oregon,F,College,867219.43%,22547.0,112.0,1/0/00,Corporate Auto,SUV,537.6,California
DP45816,AZ,F,High School or Below,1163866.93%,61486.0,97.0,1/0/00,Personal Auto,Two-Door Car,465.258644,California
GW33762,Oregon,F,Bachelor,684615.03%,0.0,95.0,1/0/00,Personal Auto,Two-Door Car,456.0,California
RZ33670,California,F,College,1172777.65%,29879.0,102.0,1/0/00,Personal Auto,Four-Door Car,500.254235,California
PY70169,Oregon,F,High School or Below,2264383.48%,93011.0,113.0,1/0/00,Personal Auto,SUV,281.451042,California
MO91628,Oregon,F,Master,261447.43%,65186.0,65.0,1/0/00,Personal Auto,Two-Door Car,5.434505,California
HW87852,Oregon,F,Master,245175.27%,26840.0,64.0,1/2/00,Personal Auto,Four-Door Car,307.2,California
HB20453,Oregon,F,Bachelor,678127.02%,0.0,104.0,1/1/00,Personal Auto,Sports Car,982.399613,California
BN87372,Oregon,F,Bachelor,497480.15%,75644.0,65.0,1/3/00,Personal Auto,Two-Door Car,467.803638,California
YX23800,Oregon,F,Bachelor,859160.49%,38984.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4,California
DZ87709,Oregon,F,High School or Below,559216.14%,71811.0,71.0,1/0/00,Personal Auto,Four-Door Car,29.03416,California
XW13033,Nevada,F,College,800947.28%,20961.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,California
SP81997,Washington,F,Master,2300.691547,41275.0,96.0,1/0/00,Personal Auto,Four-Door Car,41.122303,California
OM82309,California,F,Bachelor,5816655.35%,61321.0,186.0,1/1/00,Personal Auto,Luxury Car,427.63121,California
ZU35962,California,F,College,802522.94%,0.0,77.0,1/0/00,Personal Auto,Two-Door Car,25.807685,California
VH85817,California,F,High School or Below,578018.22%,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313,California
DT85712,California,F,Doctor,411853.91%,34378.0,102.0,1/0/00,Personal Auto,SUV,489.6,California
YJ88573,Nevada,F,Master,252307.02%,43072.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4,California
SQ19467,Oregon,F,College,655421.64%,25222.0,90.0,1/0/00,Personal Auto,Four-Door Car,475.623251,California
YB66933,Washington,F,Bachelor,538275.20%,77552.0,68.0,1/1/00,Corporate Auto,Four-Door Car,45.215059,California
ET79815,California,F,College,592672.94%,23091.0,96.0,1/5/00,Personal Auto,Four-Door Car,460.8,California
QC35222,California,F,Bachelor,268347.07%,48269.0,69.0,1/3/00,Corporate Auto,Four-Door Car,282.151207,California
CJ15590,Oregon,F,Bachelor,269518.24%,32720.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,California
OI48267,California,F,College,604702.52%,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.8,California
JY67916,Oregon,F,College,1317101.28%,21513.0,119.0,1/1/00,Personal Auto,Two-Door Car,679.827592,California
OW15518,Washington,F,College,1595001.95%,0.0,87.0,1/1/00,Personal Auto,Two-Door Car,46.041452,California
CZ33664,Oregon,F,Bachelor,252765.38%,80744.0,63.0,1/0/00,Corporate Auto,Four-Door Car,11.879037,California
WK30175,Oregon,F,Bachelor,267209.58%,52822.0,67.0,1/0/00,Corporate Auto,Two-Door Car,350.529033,California
ON44465,California,F,High School or Below,531329.40%,0.0,77.0,1/1/00,Personal Auto,Four-Door Car,863.3947,California
TV87155,Oregon,F,Bachelor,2094619.25%,69738.0,74.0,1/1/00,Personal Auto,Four-Door Car,492.127532,California
KH48895,AZ,F,Master,837535.39%,17780.0,109.0,1/0/00,Personal Auto,SUV,132.588288,California
NZ30757,California,F,Bachelor,480166.15%,18107.0,62.0,1/0/00,Personal Auto,Four-Door Car,297.6,California
RI22468,AZ,F,Bachelor,574594.33%,57740.0,74.0,1/3/00,Personal Auto,Four-Door Car,269.905129,California
FZ30935,Oregon,F,College,606611.60%,32627.0,76.0,1/0/00,Personal Auto,Two-Door Car,380.036697,California
UG93476,California,F,College,800230.83%,0.0,107.0,1/0/00,Personal Auto,SUV,513.6,California
AB96670,California,F,College,239391.54%,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,425.266308,California
XK64261,Oregon,F,Bachelor,476281.79%,65795.0,62.0,1/1/00,Corporate Auto,Two-Door Car,49.011099,California
EV68375,California,F,College,433038.60%,60475.0,107.0,1/0/00,Personal Auto,Four-Door Car,513.6,California
UN51653,California,F,High School or Below,940272.98%,0.0,130.0,1/0/00,Personal Auto,SUV,936.0,California
TO96662,Oregon,F,Bachelor,696669.45%,41837.0,88.0,1/0/00,Personal Auto,Four-Door Car,142.062768,California
MR52087,California,F,Bachelor,769406.43%,32303.0,65.0,1/0/00,Personal Auto,Four-Door Car,45.152521,California
DE75225,Oregon,F,High School or Below,871756.11%,0.0,117.0,1/1/00,Personal Auto,SUV,561.6,California
EP80820,California,F,Bachelor,592874.85%,40531.0,74.0,1/0/00,Personal Auto,Two-Door Car,30.567357,California
GU99037,Oregon,F,College,245297.73%,79898.0,62.0,1/1/00,Corporate Auto,Four-Door Car,271.606799,California
WI57118,California,F,College,670157.17%,56398.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0,California
GP39118,Washington,M,High School or Below,499655.27%,71600.0,63.0,1/0/00,Personal Auto,Two-Door Car,46.158117,California
MQ14219,AZ,F,College,849269.88%,27804.0,109.0,1/0/00,Personal Auto,SUV,784.8,California
KN20603,Oregon,F,Bachelor,771349.40%,45506.0,66.0,1/2/00,Personal Auto,Four-Door Car,316.8,California
SG20925,Washington,F,Master,518579.76%,99428.0,6464.0,1/1/00,Personal Auto,Four-Door Car,48.046869,California
JI70886,California,F,High School or Below,729006.98%,0.0,102.0,1/1/00,Corporate Auto,SUV,489.6,California
VF72557,Oregon,F,High School or Below,477294.38%,20993.0,133.0,1/0/00,Personal Auto,SUV,638.4,California
OX28638,AZ,F,High School or Below,680649.14%,37839.0,86.0,1/0/00,Personal Auto,Two-Door Car,465.633954,California
SK55033,California,F,Bachelor,246978.13%,92711.0,62.0,1/0/00,Personal Auto,Two-Door Car,368.400146,California
OO88645,California,F,College,310392.30%,74665.0,78.0,1/2/00,Corporate Auto,Four-Door Car,236.902001,California
FM14335,Washington,F,College,1048491.54%,61108.0,89.0,1/0/00,Personal Auto,Four-Door Car,49.451117,California
CW82151,California,F,Bachelor,890273.76%,46833.0,112.0,1/0/00,Personal Auto,Sports Car,64.109663,California
DY22043,Oregon,F,High School or Below,549944.72%,88768.0,68.0,1/0/00,Personal Auto,Two-Door Car,326.4,California
SH36774,California,F,High School or Below,1502359.86%,28262.0,192.0,1/0/00,Personal Auto,Luxury SUV,921.6,California
EM43724,Nevada,F,Bachelor,250910.79%,33555.0,63.0,1/0/00,Personal Auto,Four-Door Car,101.89645,California
FH85960,Oregon,F,College,3122174.81%,42780.0,113.0,1/1/00,Personal Auto,Four-Door Car,542.4,California
XA55993,Oregon,F,Master,313350.34%,58850.0,78.0,1/0/00,Personal Auto,Four-Door Car,143.747794,California
GO36627,AZ,F,College,383745.19%,21880.0,97.0,1/0/00,Special Auto,Four-Door Car,424.077159,California
QH48047,Oregon,F,College,1179049.62%,25251.0,66.0,1/0/00,Personal Auto,Four-Door Car,316.8,California
HS28694,Washington,F,High School or Below,282986.39%,25317.0,71.0,1/0/00,Personal Auto,Two-Door Car,50.422181,California
UH65059,AZ,F,High School or Below,430580.83%,24188.0,109.0,1/0/00,Personal Auto,Sports Car,523.2,California
FV21968,Nevada,F,Bachelor,597397.69%,41611.0,74.0,1/0/00,Special Auto,Four-Door Car,113.801497,California
QA87025,Oregon,F,Bachelor,567044.24%,28406.0,72.0,1/1/00,Personal Auto,Four-Door Car,192.87572,California
TQ13499,AZ,F,College,473174.93%,69833.0,118.0,1/0/00,Personal Auto,Four-Door Car,828.662719,California
BU44523,AZ,F,High School or Below,802637.96%,0.0,74.0,1/0/00,Corporate Auto,Four-Door Car,532.8,California
MS41162,AZ,F,High School or Below,402296.35%,0.0,117.0,1/0/00,Personal Auto,SUV,975.107098,California
PU25891,Oregon,F,High School or Below,961831.09%,80536.0,119.0,1/0/00,Special Auto,Sports Car,53.798708,California
LH92841,Washington,F,Bachelors,725595.38%,88891.0,89.0,1/0/00,Personal Auto,Four-Door Car,50.528355,California
SX26335,Oregon,F,College,955292.69%,97732.0,79.0,1/0/00,Personal Auto,Four-Door Car,289.9122,California
AZ95587,AZ,F,Bachelor,1038855.32%,61222.0,89.0,1/0/00,Special Auto,Four-Door Car,392.604371,California
DS81757,Oregon,M,College,247012.12%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,721.242206,California
OJ94107,AZ,M,Master,561906.85%,50335.0,140.0,1/0/00,Personal Auto,SUV,456.52385,California
LP84436,California,F,High School or Below,904711.92%,0.0,127.0,1/0/00,Personal Auto,Sports Car,1087.995426,California
FF22360,Washington,F,Doctor,268731.41%,82210.0,68.0,1/4/00,Personal Auto,Four-Door Car,51.961915,California
LM19287,Oregon,F,High School or Below,373150.46%,0.0,96.0,1/0/00,Personal Auto,Four-Door Car,460.8,California
ZU18643,Nevada,M,Bachelor,366077.03%,64495.0,92.0,1/0/00,Corporate Auto,Four-Door Car,251.992083,California
AZ82578,California,F,College,792882.93%,0.0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.6,California
XC67861,Arizona,F,Bachelor,501175.16%,28859.0,67.0,1/3/00,Corporate Auto,Two-Door Car,321.6,California
YC43143,Arizona,F,High School or Below,798825.83%,77330.0,99.0,1/0/00,Personal Auto,Four-Door Car,99.257608,California
EK59571,Oregon,M,College,388545.64%,0.0,105.0,1/0/00,Corporate Auto,Four-Door Car,504.0,California
PA38372,Washington,F,High School or Below,935773.78%,33060.0,117.0,1/0/00,Personal Auto,Four-Door Car,56.731578,California
RO18530,Washington,M,Master,254068.98%,42557.0,65.0,1/0/00,Personal Auto,Four-Door Car,57.562324,California
PD27940,Arizona,M,High School or Below,488516.25%,26372.0,126.0,1/0/00,Personal Auto,SUV,604.8,California
BS77946,Arizona,F,Bachelor,975330.71%,17514.0,127.0,1/0/00,Personal Auto,SUV,8.312729,California
YM50253,California,Femal,Bachelor,294615.37%,89270.0,74.0,1/0/00,Personal Auto,Four-Door Car,316.599228,California
NR15332,California,M,High School or Below,258111.09%,29757.0,65.0,1/0/00,Personal Auto,Four-Door Car,312.0,California
RC62865,Oregon,M,College,351738.58%,51814.0,92.0,1/0/00,Personal Auto,Four-Door Car,56.300724,California
CC15295,Oregon,F,Bachelor,974335.01%,24028.0,82.0,1/0/00,Personal Auto,Four-Door Car,393.6,California
KA61892,Arizona,M,College,387364.70%,28142.0,105.0,1/0/00,Personal Auto,Sports Car,701.708239,California
OS94884,Arizona,F,Bachelor,764928.20%,52705.0,64.0,1/1/00,Personal Auto,Two-Door Car,128.705563,California
ND87334,California,M,High School or Below,228759.69%,0.0,63.0,1/0/00,Corporate Auto,Two-Door Car,679.368378,California
OY51402,Washington,F,High School or Below,825576.39%,54040.0,103.0,1/0/00,Personal Auto,SUV,59.987126,California
YL74911,California,F,College,871492.21%,0.0,118.0,1/0/00,Personal Auto,SUV,566.4,California
GK92563,Washington,F,Doctor,681923.12%,22492.0,85.0,1/0/00,Personal Auto,Two-Door Car,61.654262,California
HL53154,California,M,Bachelor,741619.73%,0.0,77.0,1/2/00,Personal Auto,Four-Door Car,554.4,California
RI78966,Oregon,M,Master,777115.90%,21876.0,68.0,1/0/00,Personal Auto,Four-Door Car,465.41477,California
IC13702,California,F,Bachelor,696834.19%,0.0,69.0,1/1/00,Personal Auto,Four-Door Car,496.8,California
BE10809,California,F,High School or Below,425028.26%,0.0,61.0,1/1/00,Personal Auto,Four-Door Car,292.8,California
HT87217,Oregon,F,High School or Below,1977656.65%,70699.0,82.0,1/0/00,Personal Auto,Four-Door Car,256.813837,California
TH95618,California,F,High School or Below,2134346.60%,0.0,74.0,1/1/00,Personal Auto,Four-Door Car,355.2,California
TS19868,California,M,College,241313.97%,27501.0,63.0,1/0/00,Personal Auto,Four-Door Car,542.319401,California
LP45550,Oregon,F,Doctor,1536384.72%,15897.0,101.0,1/0/00,Personal Auto,Four-Door Car,303.148399,California
QR87004,Nevada,F,College,845696.19%,25141.0,73.0,1/1/00,Personal Auto,Four-Door Car,25.438063,California
OE75747,Nevada,F,College,218964.25%,0.0,61.0,1/3/00,Personal Auto,Four-Door Car,292.8,California
DX91392,California,M,High School or Below,578018.22%,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313,California
AB72731,California,F,Bachelor,463998.16%,28358.0,117.0,1/0/00,Personal Auto,Sports Car,84.024413,California
GX84338,Washington,F,Doctor,382443.13%,62530.0,95.0,1/0/00,Personal Auto,Four-Door Car,61.693771,California
IS12901,Arizona,F,Bachelor,596811.89%,90972.0,74.0,1/0/00,Personal Auto,Two-Door Car,232.926145,California
BN90616,Washington,F,Bachelor,859033.50%,63110.0,72.0,1/0/00,Personal Auto,Four-Door Car,68.179721,California
HH90090,California,F,Bachelor,407663.47%,29549.0,104.0,1/0/00,Personal Auto,Sports Car,710.433775,California
IU25463,California,F,Bachelor,1225260.18%,0.0,115.0,1/1/00,Personal Auto,Four-Door Car,552.0,California
KC11055,Nevada,F,Bachelor,1693627.15%,39411.0,217.0,1/2/00,Personal Auto,Luxury Car,1122.658899,California
PD33979,Oregon,M,High School or Below,489243.55%,21709.0,62.0,1/0/00,Personal Auto,Four-Door Car,408.374746,California
NK71023,Nevada,M,Bachelor,994230.48%,67890.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0,California
AB13432,California,M,Bachelor,373583.81%,0.0,110.0,1/0/00,Personal Auto,SUV,792.0,California
OZ97704,California,F,High School or Below,1311752.22%,84311.0,111.0,1/4/00,Personal Auto,SUV,532.8,California
UF46533,California,F,College,457452.41%,99316.0,114.0,1/0/00,Corporate Auto,SUV,754.358929,California
XP47431,Arizona,F,Bachelor,547006.06%,54507.0,138.0,1/0/00,Personal Auto,SUV,702.990032,California
GK73582,California,F,Bachelor,297884.60%,64586.0,76.0,1/0/00,Personal Auto,Four-Door Car,206.837111,California
RV98763,Oregon,M,College,641096.75%,61709.0,82.0,1/2/00,Personal Auto,Four-Door Car,275.395894,California
II62831,California,M,Master,447902.31%,94656.0,111.0,1/1/00,Special Auto,SUV,459.738128,California
XK33449,California,F,High School or Below,238373.19%,0.0,69.0,1/0/00,Special Auto,Two-Door Car,496.8,California
TR85083,California,M,Bachelor,276449.37%,61085.0,70.0,1/1/00,Personal Auto,Two-Door Car,336.0,California
EO95328,Oregon,F,Bachelor,792010.54%,89284.0,67.0,1/3/00,Personal Auto,Two-Door Car,321.6,California
EN21086,Arizona,F,High School or Below,688909.80%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4,California
YL83902,WA,F,Bachelor,327419.46%,31686.0,81.0,1/0/00,Personal Auto,Four-Door Car,430.994107,California
AZ62651,Oregon,M,High School or Below,995170.77%,56855.0,255.0,1/0/00,Corporate Auto,Luxury SUV,1836.0,California
ZW25874,Oregon,M,Bachelor,252155.57%,53703.0,67.0,1/2/00,Special Auto,Four-Door Car,67.632476,California
EH41854,WA,F,High School or Below,2370611.34%,0.0,96.0,1/1/00,Personal Auto,Two-Door Car,844.481918,California
MW70227,California,M,College,604702.52%,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.8,California
SL22297,California,F,Master,1114030.25%,27679.0,150.0,1/0/00,Personal Auto,SUV,722.486994,California
RV14138,Nevada,F,Bachelor,433406.41%,23904.0,123.0,1/3/00,Personal Auto,SUV,590.4,California
UO62808,Arizona,F,High School or Below,279974.79%,65351.0,69.0,1/0/00,Corporate Auto,Four-Door Car,481.027516,California
ZX64745,California,M,College,792313.66%,0.0,113.0,1/0/00,Personal Auto,SUV,1124.427734,California
FL34139,California,M,High School or Below,368811.09%,0.0,63.0,1/3/00,Personal Auto,Four-Door Car,669.682001,California
TS11219,California,M,College,1206745.60%,0.0,116.0,1/0/00,Personal Auto,SUV,1284.093173,California
XX12304,California,F,College,292497.67%,64459.0,72.0,1/0/00,Personal Auto,Four-Door Car,240.259479,California
SD64087,California,M,College,1501409.27%,32961.0,190.0,1/0/00,Corporate Auto,SUV,912.0,California
OY38576,Oregon,F,High School or Below,927723.38%,71416.0,116.0,1/0/00,Corporate Auto,SUV,556.8,California
BG76355,WA,F,Bachelor,627412.39%,68964.0,78.0,1/0/00,Personal Auto,Four-Door Car,115.086827,California
IP66913,Cali,M,High School or Below,388664.74%,78108.0,98.0,1/0/00,Personal Auto,Two-Door Car,470.4,California
LE95702,Cali,M,College,438627.76%,10621.0,67.0,1/0/00,Special Auto,Four-Door Car,321.6,California
KX54357,WA,M,College,1136526.77%,84910.0,95.0,1/0/00,Corporate Auto,Two-Door Car,383.167471,California
EZ78112,Cali,Femal,High School or Below,561096.43%,77493.0,70.0,1/0/00,Special Auto,Four-Door Car,307.963291,California
XN16891,Arizona,M,College,291289.20%,81097.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2,California
XK31350,Oregon,Femal,College,691572.99%,96610.0,85.0,1/0/00,Corporate Auto,Four-Door Car,520.364752,California
CC30924,Oregon,M,College,626266.33%,30110.0,159.0,1/0/00,Corporate Auto,Sports Car,466.436375,California
IT78748,Oregon,Femal,High School or Below,650339.70%,22081.0,84.0,1/0/00,Special Auto,Two-Door Car,451.670309,California
KY33386,WA,Femal,High School or Below,800739.94%,0.0,112.0,1/0/00,Personal Auto,Sports Car,537.6,California
CO44221,Cali,M,College,292991.65%,98473.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6,California
LK60013,Oregon,Femal,Bachelor,596955.30%,97431.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2,California
DE21533,Cali,M,Bachelor,547315.99%,93870.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,California
YS94121,Nevada,M,High School or Below,564539.67%,50366.0,72.0,1/0/00,Personal Auto,Four-Door Car,428.734656,California
UK68427,WA,M,High School or Below,636926.24%,34498.0,83.0,1/0/00,Personal Auto,Two-Door Car,398.4,California
TE49565,Oregon,Femal,College,1183376.73%,16552.0,103.0,1/0/00,Personal Auto,SUV,494.4,California
RA88421,Oregon,Femal,College,612110.79%,26787.0,77.0,1/0/00,Personal Auto,Four-Door Car,369.6,California
KQ51983,Nevada,M,College,515936.97%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,831.752839,California
CD88896,Nevada,Femal,High School or Below,251459.20%,43860.0,65.0,1/0/00,Corporate Auto,Four-Door Car,156.124914,California
YV22553,Arizona,M,High School or Below,866861.13%,21474.0,114.0,1/2/00,Corporate Auto,SUV,373.428187,California
WU14435,Cali,M,Bachelor,496096.54%,18174.0,66.0,1/0/00,Corporate Auto,Four-Door Car,395.934815,California
XV84099,Arizona,Femal,Bachelor,550413.90%,0.0,73.0,1/0/00,Corporate Auto,Four-Door Car,350.4,California
RI24911,Arizona,Male,College,750745.54%,60920.0,64.0,1/0/00,Personal Auto,Two-Door Car,231.201886,California
KO26461,Arizona,Male,High School or Below,3226985.14%,41520.0,90.0,1/0/00,Personal Auto,Four-Door Car,289.904105,California
HI14283,Oregon,Femal,Bachelor,565703.16%,0.0,152.0,1/0/00,Personal Auto,SUV,729.6,California
PT50227,Arizona,Male,High School or Below,506175.79%,0.0,68.0,1/0/00,Personal Auto,Two-Door Car,326.4,California
BH36570,Cali,Male,Bachelor,591278.38%,72208.0,73.0,1/0/00,Personal Auto,Two-Door Car,350.4,California
TX17484,Cali,Femal,Bachelor,1518227.98%,53863.0,63.0,1/0/00,Personal Auto,Four-Door Car,105.765111,California
CT41158,WA,Male,College,1074703.09%,66446.0,136.0,1/0/00,Corporate Auto,SUV,639.464548,California
AO87348,WA,Male,College,205062.35%,0.0,61.0,1/0/00,Personal Auto,Four-Door Car,292.8,California
DE55857,WA,Femal,Bachelor,246544.49%,64997.0,63.0,1/1/00,Personal Auto,Four-Door Car,383.442328,California
